table,embedding,method,embedding_label,rank_frozen_linear,rank_frozen_backbone_trainable_head,rank_overall,adamson_pearson_r,adamson_mse,dixit_pearson_r,dixit_mse,norman_pearson_r,norman_mse,mean_pearson_r,mean_mse,mean_acc,mean_f1
A_rank,baseline,,,3.6666666666666665,4.0,3.833333333333333,,,,,,,,,,
A_rank,scGPT_human,,,5.333333333333333,7.5,6.416666666666666,,,,,,,,,,
A_rank,minus,,,6.333333333333333,6.0,6.166666666666666,,,,,,,,,,
A_rank,v4_bias_rec_best,,,3.0,2.5,2.75,,,,,,,,,,
A_rank,v4_plain_best,,,5.666666666666667,6.5,6.083333333333334,,,,,,,,,,
A_rank,v4_type_pe_best,,,7.333333333333333,5.5,6.416666666666666,,,,,,,,,,
A_rank,scconcept,,,7.0,8.0,7.5,,,,,,,,,,
A_rank,scconcept_encoded,,,8.333333333333334,9.5,8.916666666666668,,,,,,,,,,
A_rank,cl_scratch_v5,,,3.3333333333333335,1.5,2.416666666666667,,,,,,,,,,
A_rank,cl_v6_fair,,,5.0,4.0,4.5,,,,,,,,,,
B_effect,baseline,frozen_linear,baseline(frozen_linear),,,,0.1096373218297958,1.4094030380249023,0.489833854530987,0.96185418336015,0.0989112472347915,1.598634386062622,0.23279414119852473,1.3232972024825582,0.6117297149122808,
B_effect,baseline,frozen_backbone_trainable_head,baseline(frozen_head),,,,0.1716382280737161,1.1636828184127808,,,0.1249367873277515,1.2075636386871338,0.1482875077007338,1.1856232285499573,0.5612369791666667,
B_effect,scGPT_human,frozen_linear,scGPT_human(frozen_linear),,,,0.1703249861548344,1.1517045736312863,0.3573975468936719,0.9146131528051276,0.0975117988232523,1.2647858142852784,0.20841144395725286,1.1103678469072307,0.5940867141812866,
B_effect,scGPT_human,frozen_backbone_trainable_head,scGPT_human(frozen_head),,,,0.1683236214270194,1.1322893023490903,,,0.0745214395411312,1.185560953617096,0.12142253048407531,1.158925127983093,0.5434700520833333,
B_effect,minus,frozen_linear,minus(frozen_linear),,,,0.1290865690633654,1.3426821827888489,0.3690509074612668,0.9051917628630212,0.0463792734034359,1.780828094482422,0.18150558330935604,1.3429006800447638,0.584750091374269,
B_effect,minus,frozen_backbone_trainable_head,minus(frozen_head),,,,0.1754117371886968,1.09130562543869,,,0.0324862743541598,1.314149594306946,0.1039490057714283,1.202727609872818,0.5448893229166667,
B_effect,v4_bias_rec_best,frozen_linear,v4_bias_rec_best(frozen_linear),,,,0.1852228755876422,1.6061981678009034,0.6705231534219102,0.6748136304514972,0.0553654956445097,1.995649266242981,0.303703841551354,1.4255536881651274,0.6494828216374269,
B_effect,v4_bias_rec_best,frozen_backbone_trainable_head,v4_bias_rec_best(frozen_head),,,,0.2281677387778957,1.1833113074302672,,,0.1077993524260818,1.2940081477165222,0.16798354560198875,1.2386597275733946,0.5697591145833334,
B_effect,v4_plain_best,frozen_linear,v4_plain_best(frozen_linear),,,,0.1087505442897478,1.5069998145103454,0.4673708959629661,0.9338846517432676,0.0817400679877028,1.6249351263046266,0.21928716941347223,1.3552731975194134,0.6033632584064327,
B_effect,v4_plain_best,frozen_backbone_trainable_head,v4_plain_best(frozen_head),,,,0.1355777541299661,1.217033624649048,,,0.101127730384469,1.247830867767334,0.11835274225721754,1.232432246208191,0.5448697916666667,
B_effect,v4_type_pe_best,frozen_linear,v4_type_pe_best(frozen_linear),,,,0.1181083964183926,1.4307180166244506,0.358435897450698,1.0788222939560288,0.0394161588791757,1.7984666347503662,0.17198681758275544,1.4360023151102819,0.5837591374269007,
