dataset,context,embedding,method,setting_group,n_pert_genes,target_dim,pearson_r,pearson_r_std,mse,mse_std,sign_acc,sign_acc_std,n_folds
adamson,dataset::all,minus,frozen_linear,frozen_probe,75,256,0.1290865690633654,0.0582569827874833,1.3426821827888489,0.393079091018574,0.5477083333333334,0.0197789158487713,5
adamson,dataset::all,minus,frozen_mlp,frozen_probe,75,256,0.1291241679464777,0.086664680575594,1.262928068637848,0.3482170421702854,0.5491666666666667,0.0369961815315671,5
adamson,dataset::all,minus,frozen_backbone_trainable_head,finetune,75,256,0.1754117371886968,0.0636980185887756,1.09130562543869,0.4016753549896553,0.5734895833333333,0.0217951170388257,5
adamson,dataset::all,baseline,frozen_linear,frozen_probe,75,256,0.1096373218297958,0.0442777187579461,1.4094030380249023,0.4151676535728814,0.54859375,0.0198939244284949,5
adamson,dataset::all,baseline,frozen_mlp,frozen_probe,75,256,0.1003114783515532,0.0423628524500823,1.3213995695114136,0.4816376414839728,0.5522395833333332,0.0178050362042909,5
adamson,dataset::all,baseline,frozen_backbone_trainable_head,finetune,75,256,0.1716382280737161,0.0492048764864738,1.1636828184127808,0.3998253867244671,0.5767708333333333,0.019146133702758,5
adamson,dataset::all,scGPT_human,frozen_linear,frozen_probe,75,256,0.1703249861548344,0.0483238802649426,1.1517045736312863,0.5120439732445061,0.5592708333333334,0.0164698667394932,5
adamson,dataset::all,scGPT_human,frozen_mlp,frozen_probe,75,256,0.0497820028165976,0.0489197381328253,1.388839066028595,0.6136280596284978,0.5171354166666667,0.0212939955102762,5
adamson,dataset::all,scGPT_human,frozen_backbone_trainable_head,finetune,75,256,0.1683236214270194,0.0455271472040944,1.1322893023490903,0.520237914263896,0.5627604166666667,0.0157270969940771,5
adamson,dataset::all,v4_bias_rec_best,frozen_linear,frozen_probe,75,256,0.1852228755876422,0.0368347706786575,1.6061981678009034,0.475244317227069,0.5730208333333333,0.0206098692395037,5
adamson,dataset::all,v4_bias_rec_best,frozen_mlp,frozen_probe,75,256,0.1424177064312001,0.064231734691146,1.3898256778717042,0.4103491611228113,0.5601562499999999,0.0202302018701824,5
adamson,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,finetune,75,256,0.2281677387778957,0.0524350869681952,1.1833113074302672,0.3857999849171518,0.5958854166666667,0.0181302375095523,5
adamson,dataset::all,v4_plain_best,frozen_linear,frozen_probe,75,256,0.1087505442897478,0.096949589793875,1.5069998145103454,0.4620036576099285,0.5397916666666667,0.0286843491067961,5
adamson,dataset::all,v4_plain_best,frozen_mlp,frozen_probe,75,256,0.1109544966866572,0.0746168963244219,1.3745136380195615,0.5251711836982562,0.5405729166666667,0.0321950840579738,5
adamson,dataset::all,v4_plain_best,frozen_backbone_trainable_head,finetune,75,256,0.1355777541299661,0.1156761856458293,1.217033624649048,0.4887628293173072,0.5544270833333332,0.037079163506199,5
adamson,dataset::all,v4_type_pe_best,frozen_linear,frozen_probe,75,256,0.1181083964183926,0.0823287850977669,1.4307180166244506,0.4604402511970435,0.5522395833333335,0.0310731104726328,5
adamson,dataset::all,v4_type_pe_best,frozen_mlp,frozen_probe,75,256,0.132106056412061,0.0566946720769352,1.3433295369148257,0.5156684080879776,0.5611458333333333,0.0241940398135574,5
adamson,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,finetune,75,256,0.1721381685261925,0.0692162421965378,1.1583235025405885,0.438474411035158,0.5739583333333333,0.023645489167833,5
adamson,dataset::all,scconcept,frozen_linear,frozen_probe,75,256,0.0065549920499324,0.0472637362838614,1.3468276262283323,0.6667680490138888,0.4997916666666666,0.0186734548669137,5
adamson,dataset::all,scconcept,frozen_mlp,frozen_probe,75,256,-0.0342890074166158,0.0314557844189285,1.511731779575348,0.6272489632271043,0.4889583333333333,0.0200033905546173,5
adamson,dataset::all,scconcept,frozen_backbone_trainable_head,finetune,75,256,-0.0112826985369126,0.0368672058836259,1.250259816646576,0.6333732754417548,0.4880208333333333,0.011993876837671,5
adamson,dataset::all,scconcept_encoded,frozen_linear,frozen_probe,75,256,-0.0068608086866637,0.0666644100200692,2.1525322437286376,0.6145976412356834,0.50984375,0.0349406583992774,5
adamson,dataset::all,scconcept_encoded,frozen_mlp,frozen_probe,75,256,-0.0073222453643878,0.0378664775630445,1.7767606973648071,0.5870468825482449,0.5047395833333332,0.0110723335923623,5
adamson,dataset::all,scconcept_encoded,frozen_backbone_trainable_head,finetune,75,256,0.0024259090175231,0.0673859487923177,1.5755089163780212,0.634708915809387,0.5056770833333333,0.0261484269961885,5
adamson,dataset::all,cl_scratch_v5,frozen_linear,frozen_probe,75,256,0.1574675414462884,0.0646464641988752,1.3575074553489686,0.3620565789915802,0.5447395833333333,0.0281415846164039,5
adamson,dataset::all,cl_scratch_v5,frozen_mlp,frozen_probe,75,256,0.1705412452543775,0.0732257155905424,1.2046372413635251,0.3861990581774546,0.5694270833333334,0.0266077025515064,5
adamson,dataset::all,cl_scratch_v5,frozen_backbone_trainable_head,finetune,75,256,0.1948281777650117,0.0762388073206721,1.138470995426178,0.3829861548234392,0.5766145833333333,0.0297237534490047,5
dixit,dataset::all,minus,frozen_linear,frozen_probe,19,256,0.3690509074612668,0.8947068570169389,0.9051917628630212,1.0149659200306045,0.6870888157894737,0.4597754760870762,19
dixit,dataset::all,baseline,frozen_linear,frozen_probe,19,256,0.489833854530987,0.8024509653260152,0.96185418336015,1.1554789137050716,0.7514391447368421,0.4114849845668998,19
dixit,dataset::all,scGPT_human,frozen_linear,frozen_probe,19,256,0.3573975468936719,0.9124543739114386,0.9146131528051276,0.8807307994468014,0.6840049342105263,0.4646906445960343,19
dixit,dataset::all,v4_bias_rec_best,frozen_linear,frozen_probe,19,256,0.6705231534219102,0.5911889322290271,0.6748136304514972,0.9015089870946132,0.8507401315789473,0.3024270350665221,19
dixit,dataset::all,v4_plain_best,frozen_linear,frozen_probe,19,256,0.4673708959629661,0.801456187105966,0.9338846517432676,1.0251180374356406,0.7403371710526315,0.4135023062023693,19
dixit,dataset::all,v4_type_pe_best,frozen_linear,frozen_probe,19,256,0.358435897450698,0.9009500937644704,1.0788222939560288,1.1497118581430592,0.6854440789473685,0.462164833611464,19
dixit,dataset::all,scconcept,frozen_linear,frozen_probe,19,256,0.3225086958784806,0.8115564399411326,1.0417538504851491,0.312749575414172,0.6712582236842105,0.4223853652490013,19
dixit,dataset::all,scconcept_encoded,frozen_linear,frozen_probe,19,256,0.4321028056897615,0.8053272934250556,0.9440663621613854,1.0777924744796878,0.7224506578947368,0.4111262294646785,19
dixit,dataset::all,cl_scratch_v5,frozen_linear,frozen_probe,19,256,0.3880633554960552,0.8678687307333016,0.9273261967066088,1.038643091839334,0.6973684210526315,0.4463831205067339,19
norman,dataset::all,minus,frozen_linear,frozen_probe,100,256,0.0463792734034359,0.0393963603836845,1.780828094482422,0.3267239705000206,0.5194531249999998,0.0207291257720492,5
norman,dataset::all,minus,frozen_mlp,frozen_probe,100,256,0.0077347706537693,0.0386770842514099,1.54409818649292,0.4286088817626055,0.502109375,0.0196190993069811,5
