task,source_file,setting,embedding,baseline,primary_metric,secondary_metric,primary_value,primary_baseline,primary_delta,secondary_value,secondary_baseline,secondary_delta,failure_type
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-L500->mHSC-GM500;setting=transfer;train_dataset=mHSC-L500;test_dataset=mHSC-GM500;clf=lr;coverage=442/500->449/500,scconcept_encoded,baseline,auroc,auprc,0.7683753943217667,0.7652839116719243,0.003091482649842381,0.8100533860469137,0.8147551108798285,-0.004701724832914866,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-E500;setting=in_domain;train_dataset=mHSC-E500;test_dataset=mHSC-E500;clf=lr;coverage=457/500,minus,baseline,auroc,auprc,0.6623455189698384,0.6293103448275862,0.03303517414225221,0.7529713945356387,0.7543718838744,-0.001400489338761357,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-GM500;setting=in_domain;train_dataset=mHSC-GM500;test_dataset=mHSC-GM500;clf=mlp;coverage=449/500,v4_type_pe_best,baseline,auroc,auprc,0.7510567823343848,0.7438170347003155,0.007239747634069316,0.822102311950903,0.8231978577514298,-0.0010955458005268426,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=topology_matched;clf=mlp;n=5,cl_scratch_v5,baseline,mean_auroc,mean_auprc,0.3092312,0.2797598,0.02947139999999998,0.38904859999999997,0.6514022,-0.2623536000000001,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-GM;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,scconcept,baseline,mean_auroc,mean_auprc,0.4462456,0.3086194,0.13762620000000003,0.3099042,0.5587156,-0.24881139999999996,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-GM;test_dataset=mDC;protocol=coverage_matched;clf=mlp;n=5,scconcept,baseline,mean_auroc,mean_auprc,0.4724054,0.2994886,0.17291679999999998,0.3059702,0.5419316,-0.23596139999999993,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=topology_matched;clf=mlp;n=5,minus,baseline,mean_auroc,mean_auprc,0.338125,0.2797598,0.058365200000000006,0.4266368,0.6514022,-0.22476540000000006,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-L;test_dataset=mESC;protocol=coverage_matched;clf=mlp;n=2,v4_bias_rec_best,baseline,mean_auroc,mean_auprc,0.4834305,0.4410775,0.042352999999999974,0.3156555,0.5300815,-0.214426,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hHep;test_dataset=mHSC-GM;protocol=topology_matched;clf=lr;n=5,scconcept_encoded,baseline,mean_auroc,mean_auprc,0.7239576,0.7029306,0.021027000000000018,0.3263458,0.5351628,-0.20881700000000003,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-E;test_dataset=hHep;protocol=coverage_matched;clf=lr;n=5,cl_scratch_v5,baseline,mean_auroc,mean_auprc,0.7515634,0.632992,0.1185714,0.5486464,0.7532478,-0.20460140000000004,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mDC;test_dataset=mHSC-L;protocol=coverage_matched;clf=lr;n=5,v4_bias_rec_best,baseline,mean_auroc,mean_auprc,0.4550184,0.4186412,0.0363772,0.3686182,0.5635756,-0.19495739999999995,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mHSC-GM;test_dataset=mDC;protocol=coverage_matched;clf=lr;n=5,cl_v6_fair,baseline,mean_auroc,mean_auprc,0.4123324,0.3086194,0.103713,0.3745248,0.5587156,-0.1841908,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=topology_matched;clf=lr;n=5,v4_type_pe_best,baseline,mean_auroc,mean_auprc,0.39694619999999997,0.3279712,0.06897499999999995,0.5065888000000001,0.6884560000000001,-0.1818672,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=hESC;test_dataset=mDC;protocol=topology_matched;clf=mlp;n=5,v4_type_pe_best,baseline,mean_auroc,mean_auprc,0.3338422,0.2797598,0.054082399999999975,0.4698924,0.6514022,-0.18150980000000005,AUROC improves but AUPRC drops
transfer_v2,results/transfer_v2/embedding_transfer_summary_v2.csv,train_dataset=mESC;test_dataset=mHSC-L;protocol=topology_matched;clf=mlp;n=5,minus,baseline,mean_auroc,mean_auprc,0.494737,0.4466666,0.04807039999999996,0.2322338,0.3881476,-0.1559138,AUROC improves but AUPRC drops
