train_dataset,test_dataset,clf,metric,embedding,native,coverage_matched,strict,topology_matched,delta_topology_minus_native,delta_strict_minus_coverage,rank_native,rank_coverage_matched,rank_strict,rank_topology_matched,rank_change_native_to_topology,native_wins_topology_loses,coverage_improves_strict_collapses,protocol_sensitivity_score,source_file
hESC,mHSC-L,mlp,auprc,cl_v6_fair,0.6743982,0.6222328,0.5804468,0.47343,-0.20096819999999993,-0.04178599999999999,1,2,4,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,auprc,cl_scratch_v5,0.4726116,0.496071,0.854905,0.849686,0.37707440000000003,0.35883400000000004,10,6,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,mlp,auprc,v4_type_pe_best,0.761136,0.7046662,0.4095344,0.2010584,-0.5600776000000001,-0.2951318,1,5,2,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,mlp,auprc,minus,0.427358,0.4418628,0.48152160000000005,0.6441566,0.21679859999999995,0.03965880000000005,10,8,5,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,auprc,cl_scratch_v5,0.5284254,0.5104992,0.8789216,0.6964808,0.16805539999999997,0.3684223999999999,1,6,10,10,9,True,True,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,lr,auprc,scconcept_encoded,0.5422654,0.4169606,0.47682420000000003,0.5956974,0.053432000000000035,0.05986360000000002,10,10,5,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,mlp,auprc,scGPT_human,0.5138316,0.5246956,0.617062,0.639899,0.12606739999999994,0.09236639999999996,10,7,2,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,mlp,auprc,v4_bias_rec_best,0.4778286,0.5573064,0.5838752,0.5999546,0.12212600000000001,0.02656880000000006,10,5,7,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mESC,lr,auroc,scconcept,0.4951538,0.4927926,0.5092346,0.5104338,0.015280000000000071,0.016441999999999957,10,4,4,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,auroc,cl_scratch_v5,0.4394412,0.5149066,0.7422978,0.7409916,0.3015504,0.22739120000000002,10,5,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,mlp,auroc,v4_type_pe_best,0.7718024,0.6910218,0.6876926,0.5030066,-0.26879580000000003,-0.003329200000000032,1,5,4,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,auroc,scGPT_human,0.4411276,0.3955064,0.6235356,0.6456218,0.20449420000000001,0.2280292,10,9,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,mlp,auroc,scGPT_human,0.4460846,0.46482439999999997,0.6209292000000001,0.6586776,0.21259299999999998,0.1561048000000001,10,6,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,mlp,auroc,v4_bias_rec_best,0.4214768,0.4127906,0.634344,0.6410122,0.21953540000000005,0.2215534,10,8,4,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mESC,lr,balanced_accuracy,cl_scratch_v5,0.5008904,,0.4986226,0.4958678,-0.005022599999999933,,1,,10,10,9,True,False,10,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,lr,balanced_accuracy,scconcept_encoded,0.538877,0.5511276,0.5099296,0.4182728,-0.12060420000000005,-0.04119800000000007,1,1,4,10,9,True,True,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-E,mlp,balanced_accuracy,scconcept,0.4987298,0.48476359999999996,0.5033906,0.4800916,-0.018638199999999994,0.01862700000000006,1,8,4,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,lr,balanced_accuracy,v4_bias_rec_best,0.6241414000000001,0.560815,0.4804454,0.4336842,-0.19045720000000005,-0.08036959999999993,1,5,3,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,lr,balanced_accuracy,scconcept_encoded,0.5471056,0.3733336,0.5342106,0.6131984,0.06609280000000006,0.160877,10,10,7,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,mlp,balanced_accuracy,v4_bias_rec_best,0.44320160000000003,0.468372,0.5777738,0.5785652,0.13536359999999997,0.1094018,10,8,4,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,lr,f1,v4_plain_best,0.2879128,0.2587642,0.3544462,0.3718326,0.08391979999999999,0.09568199999999999,10,7,2,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,mlp,f1,v4_plain_best,0.07345259999999999,0.0949914,0.3400192,0.3977194,0.3242668,0.24502780000000002,10,6,4,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,f1,v4_bias_rec_best,0.45386360000000003,0.051485199999999995,0.4966762,0.6346033999999999,0.1807397999999999,0.445191,10,10,2,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,lr,f1,scconcept_encoded,0.495114,0.255128,0.330195,0.4658712,-0.029242800000000013,0.075067,10,10,6,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,mlp,f1,scconcept_encoded,0.2767006,0.5942278,0.2049202,0.4073232,0.13062259999999998,-0.3893076,10,3,8,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,lr,precision_at_k,cl_scratch_v5,0.765,0.642,0.517,0.236364,-0.528636,-0.125,1,3,7,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,lr,precision_at_k,scconcept,0.544,0.451,0.431,0.465116,-0.07888400000000007,-0.020000000000000018,10,10,10,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,mlp,precision_at_k,cl_scratch_v5,0.809,0.671,0.5509999999999999,0.236364,-0.572636,-0.1200000000000001,1,3,5,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,mlp,precision_at_k,scconcept,0.571,0.468,0.45,0.465116,-0.10588399999999998,-0.018000000000000016,10,10,10,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-L,mlp,precision_at_k,v4_bias_rec_best,0.749,0.465,0.412,0.273504,-0.475496,-0.05300000000000005,1,9,2,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mESC,mlp,precision_at_k,baseline,0.505,0.478261,0.894737,0.894737,0.389737,0.416476,10,4,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,precision_at_k,minus,0.37,0.453,0.35500000000000004,0.443182,0.07318200000000002,-0.09799999999999998,10,9,7,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,precision_at_k,scconcept_encoded,0.53,0.489,0.396,0.327044,-0.20295600000000003,-0.09299999999999997,1,7,1,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,precision_at_k,v4_type_pe_best,0.47600000000000003,0.497,0.884,0.962617,0.4866169999999999,0.387,10,7,8,1,-9,False,True,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,precision_at_k,minus,0.535,0.448,0.314,0.191489,-0.343511,-0.134,1,9,9,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,precision_at_k,v4_bias_rec_best,0.492,0.444,0.33499999999999996,0.465116,-0.02688400000000002,-0.10900000000000004,10,10,4,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,precision_at_k,scGPT_human,0.498,0.5,0.489,0.504,0.006000000000000005,-0.01100000000000001,10,6,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,lr,precision_at_k,scconcept_encoded,0.503,0.673469,0.368932,0.38,-0.123,-0.304537,10,1,7,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,mlp,precision_at_k,scconcept_encoded,0.515,0.673469,0.368932,0.38,-0.135,-0.304537,10,1,7,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,mlp,precision_at_k,v4_bias_rec_best,0.479,0.589041,0.513,0.516,0.03700000000000003,-0.07604100000000003,10,3,3,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mESC,lr,auprc,v4_plain_best,0.5205312,0.4963958,0.8971854,0.8970266,0.37649540000000004,0.4007896,1,1,10,9,8,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,lr,auprc,cl_v6_fair,0.6507666,0.6431496,0.565212,0.4779254,-0.17284119999999997,-0.07793759999999994,1,4,4,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mESC,lr,auprc,scconcept,0.5129813999999999,0.5679102,0.9336726,0.9337994000000001,0.42081800000000014,0.36576239999999993,10,1,3,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,auprc,v4_plain_best,0.4428208,0.5252586,0.7074028,0.7662582,0.3234374,0.18214419999999998,9,3,1,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,mlp,auprc,scconcept_encoded,0.5435356,0.5069034,0.294087,0.2919906,-0.251545,-0.21281640000000002,2,6,10,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,lr,auprc,v4_plain_best,0.4138138,0.3528506,0.4740532,0.5447314,0.13091759999999997,0.1212026,10,10,2,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,lr,auprc,baseline,0.508047,0.5635756,0.3484866,0.27591119999999997,-0.23213580000000006,-0.21508899999999997,2,2,6,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,auprc,scconcept_encoded,0.516594,0.4426254,0.4070376,0.3144812,-0.20211279999999998,-0.0355878,1,8,2,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hESC,mlp,auprc,scconcept,0.4909262,0.5740942,0.3795005,0.38686299999999996,-0.10406320000000002,-0.19459369999999998,9,3,2,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hHep,lr,auprc,minus,0.4666666,0.5419248,0.39228440000000003,0.5075394,0.04087279999999999,-0.14964039999999995,9,5,5,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,auprc,v4_type_pe_best,0.5106244,0.49411160000000004,0.8879086,0.9655412,0.4549168,0.393797,9,8,7,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-E,mlp,auprc,v4_type_pe_best,0.4956938,0.4858,0.5799254,0.7102372,0.2145434,0.09412540000000003,9,6,1,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-GM,mlp,auprc,scconcept_encoded,0.5236756,0.5275906,0.25142359999999997,0.2309122,-0.2927634,-0.27616700000000005,1,3,7,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,auprc,cl_scratch_v5,0.5042764,0.4951452,0.3638016,0.4760826,-0.028193799999999936,-0.1313436,10,6,2,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,auprc,scconcept_encoded,0.5195502,0.4763408,0.3417424,0.2848002,-0.23474999999999996,-0.1345984,1,8,8,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,mlp,auprc,scGPT_human,0.80773,0.86328,0.6998704,0.6462596,-0.1614703999999999,-0.16340960000000004,1,2,8,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,auprc,scGPT_human,0.49624480000000004,0.4452938,0.6174656000000001,0.6560344,0.15978959999999998,0.17217180000000004,10,8,2,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,lr,auprc,scconcept_encoded,0.515043,0.788039,0.4134932,0.5589944,0.043951399999999974,-0.37454580000000004,10,1,8,2,-8,False,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hHep,mlp,auprc,scconcept_encoded,0.5462568,0.5569454,0.5825972,0.6549758,0.10871900000000001,0.025651800000000002,9,8,5,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-E,lr,auroc,v4_bias_rec_best,0.4812608,0.5634254,0.567986,0.5737496,0.09248879999999998,0.004560600000000026,9,4,1,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,lr,auroc,cl_v6_fair,0.7163808,0.6516426,0.6497122,0.5761016,-0.14027920000000005,-0.0019303999999999988,1,5,5,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-L,mlp,auroc,cl_v6_fair,0.6859957999999999,0.645015,0.6202544,0.5844744,-0.10152139999999998,-0.02476060000000002,1,2,3,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mESC,lr,auroc,scconcept,0.49463039999999997,0.49915760000000003,0.503581,0.504683,0.010052600000000023,0.004423399999999911,10,1,3,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mESC,lr,auroc,scconcept_encoded,0.4953894,,0.5071624,0.5085398,0.013150400000000007,,9,,2,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,mlp,auroc,scconcept_encoded,0.5762844,0.576923,0.5649826,0.4407756,-0.13550880000000004,-0.011940399999999962,1,1,1,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,auroc,v4_plain_best,0.4058662,0.4605648,0.7993975999999999,0.8318974,0.4260312,0.33883279999999993,9,5,2,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,mlp,auroc,scconcept_encoded,0.5189496,0.5055408,0.4495708,0.4510168,-0.06793280000000002,-0.05597000000000002,2,5,10,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-GM,mlp,auroc,scconcept_encoded,0.5199178,0.5007699999999999,0.5086058,0.4100224,-0.10989539999999998,0.00783580000000006,2,4,4,10,8,False,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hESC,mlp,auroc,scconcept,0.467742,0.5018452,0.501008,0.50252,0.034777999999999976,-0.0008371999999999824,9,6,2,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,auroc,cl_scratch_v5,0.5187048,0.47803460000000003,0.460181,0.4412486,-0.07745619999999998,-0.017853600000000025,2,9,10,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-E,mlp,auroc,scconcept,0.500808,0.5356772,0.466595,0.4100686,-0.09073940000000003,-0.06908219999999998,2,4,9,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,lr,auroc,scconcept_encoded,0.5471746,0.318222,0.6462348,0.6668018,0.11962720000000004,0.3280128,10,10,2,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,mlp,auroc,scconcept_encoded,0.5440834,0.608,0.6911742,0.671822,0.12773860000000004,0.08317419999999998,10,7,1,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,lr,auroc,v4_plain_best,0.6194252,0.6171428,0.6862348,0.5398382,-0.07958699999999996,0.06909200000000004,1,4,1,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,lr,auroc,v4_type_pe_best,0.6098404000000001,0.5333334,0.5269274,0.445808,-0.16403240000000008,-0.006405999999999912,2,4,6,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mDC,lr,balanced_accuracy,cl_v6_fair,0.5441634,0.46782460000000003,0.4467896,0.386257,-0.15790639999999995,-0.021035000000000026,1,7,7,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,lr,balanced_accuracy,cl_v6_fair,0.647121,0.5944752,0.598629,0.5346348,-0.11248619999999998,0.004153799999999985,1,5,4,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,balanced_accuracy,cl_scratch_v5,0.4628382,0.5142132,0.5514706,0.5552469999999999,0.09240879999999996,0.037257399999999996,10,4,2,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,balanced_accuracy,minus,0.4885226,0.4376832,0.5648896,0.5671494,0.07862680000000005,0.1272064,9,10,1,1,-8,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,balanced_accuracy,scconcept_encoded,0.5161901999999999,0.5167948,0.5953966,0.600754,0.08456380000000008,0.07860180000000005,9,7,1,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,lr,balanced_accuracy,v4_plain_best,0.41123899999999997,0.3613636,0.5146886,0.522268,0.11102899999999999,0.15332500000000004,9,10,3,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hESC,mlp,balanced_accuracy,scconcept_encoded,0.52467,0.5466634,0.5354291999999999,0.45141,-0.07325999999999999,-0.011234200000000083,1,1,2,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,lr,balanced_accuracy,scconcept,0.5163916,0.5133774,0.502274,0.4979216,-0.01846999999999993,-0.011103399999999986,2,1,9,10,8,False,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-GM,mlp,balanced_accuracy,scconcept_encoded,0.510369,0.4859414,0.5153066,0.4511034,-0.059265599999999974,0.029365199999999925,2,8,7,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,lr,balanced_accuracy,baseline,0.492764,0.47904440000000004,0.4600262,0.4170048,-0.07575919999999997,-0.01901820000000004,2,3,8,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,balanced_accuracy,cl_v6_fair,0.4607904,0.4984102,0.492624,0.538882,0.07809159999999998,-0.005786200000000019,9,3,7,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-L,mlp,balanced_accuracy,scconcept_encoded,0.5105214,0.454632,0.5142546,0.4633356,-0.0471858,0.059622600000000026,1,10,1,9,8,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,balanced_accuracy,cl_scratch_v5,0.5241034,0.4812946,0.469799,0.456426,-0.0676774,-0.011495599999999995,1,7,10,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,balanced_accuracy,scconcept_encoded,0.5220826,0.5020522000000001,0.48331640000000003,0.4275972,-0.09448539999999994,-0.018735800000000025,2,2,9,10,8,False,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,balanced_accuracy,scconcept_encoded,0.5156918,0.5146524,0.497372,0.4878788,-0.027813000000000032,-0.01728040000000003,1,1,7,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,balanced_accuracy,v4_plain_best,0.4915112,0.5083846,0.5090032,0.5168422,0.025331000000000048,0.0006186000000000247,9,3,1,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,mESC,mlp,balanced_accuracy,minus,0.495549,0.5,,0.5,0.004450999999999983,,10,2,,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,mlp,balanced_accuracy,scconcept_encoded,0.5131198,0.6133332,0.5323888,0.600324,0.08720419999999995,-0.08094440000000003,10,5,8,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,lr,balanced_accuracy,scGPT_human,0.6982296,0.7118688,0.5782408,0.5092592,-0.18897039999999998,-0.13362799999999997,1,3,8,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,mlp,balanced_accuracy,scconcept_encoded,0.5347838,0.509808,0.5322530000000001,0.5591048,0.024320999999999926,0.022445000000000048,9,10,8,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,lr,balanced_accuracy,scGPT_human,0.449264,0.4613634,0.5824628000000001,0.5997018000000001,0.15043780000000007,0.12109940000000008,10,4,1,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,mlp,balanced_accuracy,scGPT_human,0.4611048,0.518182,0.5812388,0.5826938,0.12158900000000006,0.06305680000000002,10,3,1,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,lr,balanced_accuracy,v4_bias_rec_best,0.49427719999999997,0.490465,0.5182134,0.5696018,0.07532460000000007,0.027748400000000062,9,9,3,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,lr,balanced_accuracy,v4_type_pe_best,0.5690008,0.5589744,0.5068138,0.457502,-0.11149879999999995,-0.0521606,2,1,7,10,8,False,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-GM,mlp,f1,scconcept_encoded,0.5378522,0.4612576,0.5128614,0.568802,0.030949800000000027,0.05160380000000003,9,6,3,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mESC,mlp,f1,v4_type_pe_best,0.0,0.0,0.7668008000000001,0.958501,0.958501,0.7668008000000001,10,9,4,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,lr,f1,v4_type_pe_best,0.521682,0.5473464,0.273503,0.0835294,-0.4381526,-0.2738434,1,1,3,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,mlp,f1,v4_type_pe_best,0.5034018,0.4205778,0.2239034,0.090196,-0.4132058,-0.1966744,1,2,3,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,mlp,f1,minus,0.0929708,0.008941000000000001,0.3598868,0.4278058,0.334835,0.35094580000000003,9,10,1,1,-8,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,f1,v4_type_pe_best,0.49147460000000004,0.6001622,0.9349586,0.9749576000000001,0.48348300000000005,0.3347964,9,5,1,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-GM,mlp,f1,scGPT_human,0.6325972,0.6858626,0.3771348,0.2480924,-0.3845048,-0.3087278,2,1,2,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-GM,mlp,f1,scconcept_encoded,0.6465458,0.5054668,0.3692204,0.2615734,-0.38497239999999994,-0.1362464,1,5,10,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-L,mlp,f1,scconcept_encoded,0.6330306,0.5434910000000001,0.454821,0.359858,-0.2731726,-0.08867000000000008,1,4,9,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-E,hESC,mlp,f1,scconcept,0.4629786,0.534293,0.3438006,0.4559392,-0.007039400000000029,-0.1904924,10,7,4,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,lr,f1,scGPT_human,0.7078656,0.6962754,0.3027454,0.0955014,-0.6123642,-0.39353,1,3,8,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,mlp,f1,scconcept_encoded,0.31281539999999997,0.2970778,0.2154174,0.2986982,-0.014117199999999941,-0.0816604,9,10,7,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,hESC,lr,f1,baseline,0.6326186,0.5266968,0.4827974,0.2804744,-0.3521442,-0.04389939999999998,1,4,2,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,lr,f1,v4_type_pe_best,0.641055,0.6532534,0.518501,0.4414302,-0.19962480000000005,-0.1347524,1,1,4,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,mlp,f1,v4_bias_rec_best,0.410903,0.4427458,0.5510309999999999,0.6000872,0.18918420000000002,0.10828519999999991,9,5,7,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mHSC-E,mlp,precision_at_k,scconcept_encoded,0.388,0.601,0.438,0.635135,0.247135,-0.16299999999999998,10,3,10,2,-8,False,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,precision_at_k,cl_scratch_v5,0.419,0.463,0.8,0.78,0.36100000000000004,0.337,10,6,1,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-L,lr,precision_at_k,cl_v6_fair,0.718,0.586,0.391,0.287879,-0.430121,-0.19499999999999995,1,7,6,9,8,True,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,hHep,mlp,precision_at_k,scconcept_encoded,0.549,0.515,0.329,0.329,-0.22000000000000003,-0.186,2,8,10,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-GM,mlp,precision_at_k,scGPT_human,0.391,0.588,0.34299999999999997,0.382199,-0.008801000000000003,-0.245,10,2,9,2,-8,False,True,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hHep,mlp,precision_at_k,baseline,0.47400000000000003,0.628,0.395,0.395,-0.07900000000000001,-0.23299999999999998,10,2,2,2,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,hHep,lr,precision_at_k,minus,0.434,0.532,0.399,0.51,0.07600000000000001,-0.133,9,5,4,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-E,mlp,precision_at_k,cl_v6_fair,0.468,0.512,0.48,0.666667,0.19866699999999998,-0.03200000000000003,9,4,6,1,-8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mHSC-GM,mlp,precision_at_k,scconcept_encoded,0.554,0.512,0.257,0.148936,-0.40506400000000004,-0.255,1,4,1,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,lr,precision_at_k,v4_type_pe_best,0.757,0.408602,0.368932,0.368932,-0.388068,-0.03967000000000004,1,9,10,9,8,True,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hHep,mlp,precision_at_k,v4_bias_rec_best,0.849,0.6,0.529412,0.510204,-0.338796,-0.07058799999999998,2,4,8,10,8,False,False,8,results/transfer_v2/embedding_transfer_summary_v2.csv
