dataset,negative_protocol,embedding,clf,test_positive_ratio,test_n_positive,test_negative_to_positive_ratio,auprc,random_auprc_baseline,auprc_lift_over_random,flags,source_file
mHSC-L_STRING_1000,full_candidate,baseline,lr,0.0097183006106769,148.0,101.89864864864865,0.2792170074939357,0.0097183006106769,28.731052750845873,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,baseline,mlp,0.0097183006106769,148.0,101.89864864864865,0.3195205706323449,0.0097183006106769,32.87823493351371,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,scGPT_human,lr,0.0097183006106769,148.0,101.89864864864865,0.3324993743611135,0.0097183006106769,34.213736298280054,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,scGPT_human,mlp,0.0097183006106769,148.0,101.89864864864865,0.3493284026710525,0.0097183006106769,35.945420569442646,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,v4_bias_rec_best,lr,0.0097183006106769,148.0,101.89864864864865,0.2576642327649091,0.0097183006106769,26.513301356600266,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,v4_bias_rec_best,mlp,0.0097183006106769,148.0,101.89864864864865,0.2725451630379298,0.0097183006106769,28.044528972328884,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,v4_plain_best,lr,0.0097183006106769,148.0,101.89864864864865,0.2966709769192273,0.0097183006106769,30.527042618263227,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,v4_plain_best,mlp,0.0097183006106769,148.0,101.89864864864865,0.3612245903028078,0.0097183006106769,37.16952220082105,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,v4_type_pe_best,lr,0.0097183006106769,148.0,101.89864864864865,0.3038809936021905,0.0097183006106769,31.26894359167436,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,v4_type_pe_best,mlp,0.0097183006106769,148.0,101.89864864864865,0.3435844318338802,0.0097183006106769,35.35437373242036,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,scconcept,lr,0.0097183006106769,148.0,101.89864864864865,0.0928441252718887,0.0097183006106769,9.553535025443292,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,scconcept,mlp,0.0097183006106769,148.0,101.89864864864865,0.1061835799080195,0.0097183006106769,10.926146881211116,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,scconcept_encoded,lr,0.0097183006106769,148.0,101.89864864864865,0.0509304635301887,0.0097183006106769,5.240675872305753,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,scconcept_encoded,mlp,0.0097183006106769,148.0,101.89864864864865,0.0334642530273673,0.0097183006106769,3.4434264145525795,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,cl_scratch_v5,lr,0.0097183006106769,148.0,101.89864864864865,0.2760207274862439,0.0097183006106769,28.40215985735169,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,cl_scratch_v5,mlp,0.0097183006106769,148.0,101.89864864864865,0.3554111512835988,0.0097183006106769,36.57132718174311,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,cl_v6_fair,lr,0.009718300610676998,148.0,101.89864864864865,0.31485195381865666,0.009718300610676998,32.3978405723265,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
mHSC-L_STRING_1000,full_candidate,cl_v6_fair,mlp,0.009718300610676998,148.0,101.89864864864865,0.370788111849589,0.009718300610676998,38.15359564430669,low_positive_ratio;high_negative_to_positive_ratio,results/grn_beeline_full/grn_beeline_full_results.csv
