protocol,embedding,degree_bin,train_freq_bin,test_freq_bin,test_train_freq_ratio_bin,n_settings,mean_auprc,mean_delta_auprc_vs_baseline,mean_degree,mean_train_node_freq,mean_test_node_freq,mean_test_train_freq_ratio,mean_tf_proxy_fraction,mean_pos_edge_ratio,mean_hub_fraction
coverage_matched,baseline,high,high,high,low,33,0.6409383878787879,0.0,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,baseline,high,high,medium,low,6,0.6351851666666667,0.0,2.2914136035876247,1.8357084458941422,0.4557051576934827,0.24824315454353327,0.05054752702264187,0.013708725699346294,0.04777081115780387
coverage_matched,baseline,medium,medium,medium,low,20,0.5555604483333333,0.0,0.9302955506862158,0.7425297467935144,0.18776580389270142,0.2531744065701959,0.018333087323789278,0.007962436185150234,1.0
coverage_matched,baseline,medium,high,medium,low,15,0.65886356,0.0,1.5062942477837515,1.2046031080212523,0.3016911397624994,0.250570104489878,0.029636303587768434,0.011513567486192035,1.0
coverage_matched,cl_scratch_v5,high,high,high,low,33,0.6316973636363636,-0.009241024242424217,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,cl_scratch_v5,high,high,medium,low,7,0.5944831142857143,-0.024801399999999963,2.2692913856915693,1.8186578198859489,0.4506335658056204,0.24775464955615734,0.05000157983034136,0.013387853437090565,0.04733948999442466
coverage_matched,cl_scratch_v5,medium,medium,medium,low,16,0.5112927302083333,-0.04173230833333334,0.9702117256973711,0.7755310104217085,0.19468071527566272,0.25119901189044275,0.01929568088021288,0.00746811427640791,1.0
coverage_matched,cl_scratch_v5,medium,high,medium,low,15,0.6414857333333334,-0.01737782666666666,1.5062942477837515,1.2046031080212523,0.3016911397624994,0.250570104489878,0.029636303587768434,0.011513567486192035,1.0
coverage_matched,cl_v6_fair,high,high,high,low,33,0.5857007151515152,-0.05523767272727271,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,cl_v6_fair,high,high,medium,low,7,0.6082913999999999,-0.015324066666666655,2.2692913856915693,1.8186578198859489,0.4506335658056204,0.24775464955615734,0.05000157983034136,0.013387853437090565,0.04733948999442466
coverage_matched,cl_v6_fair,medium,medium,medium,low,21,0.5475697714285714,0.0007653421052631484,0.9292430713534872,0.7413459629594603,0.18789710839402676,0.2537601278267275,0.018306226163680286,0.008073212623161925,1.0
coverage_matched,cl_v6_fair,medium,high,medium,low,16,0.664114875,0.015030066666666671,1.5019198501447444,1.2011547719759939,0.3007650781687505,0.25050819478906217,0.029487591543747485,0.011787030814200182,1.0
coverage_matched,minus,high,high,high,low,33,0.6002758484848485,-0.04066253939393937,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,minus,high,high,medium,low,6,0.6144614666666667,-0.020723699999999973,2.2914136035876247,1.8357084458941422,0.4557051576934827,0.24824315454353327,0.05054752702264187,0.013708725699346294,0.04777081115780387
coverage_matched,minus,medium,medium,medium,low,19,0.490843099122807,-0.07159328240740741,0.9595959830202316,0.7658034542475254,0.19379252877270606,0.2533303963081542,0.019034083981320494,0.007922759342234345,1.0
coverage_matched,minus,medium,high,medium,low,15,0.6576959466666668,-0.0011676133333333246,1.5062942477837515,1.2046031080212523,0.3016911397624994,0.250570104489878,0.029636303587768434,0.011513567486192035,1.0
coverage_matched,scGPT_human,high,high,high,low,33,0.6169892484848485,-0.02394913939393937,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,scGPT_human,high,high,medium,low,6,0.6233044333333333,-0.011880733333333319,2.2914136035876247,1.8357084458941422,0.4557051576934827,0.24824315454353327,0.05054752702264187,0.013708725699346294,0.04777081115780387
coverage_matched,scGPT_human,medium,medium,medium,low,17,0.5455150470588235,-0.011959786666666661,0.980322611542415,0.7830502721182777,0.19727233942413724,0.2521451630751651,0.019461708358491783,0.007788330471759357,1.0
coverage_matched,scGPT_human,medium,high,medium,low,16,0.659673025,0.003410026666666684,1.5019198501447444,1.2011547719759939,0.3007650781687505,0.25050819478906217,0.029487591543747485,0.011787030814200182,1.0
coverage_matched,scconcept,high,high,high,low,33,0.5585936181818182,-0.08234476969696967,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,scconcept,high,high,medium,low,7,0.452902,-0.19343646666666667,2.286684325098329,1.831585004580162,0.45509932051816687,0.24847462001694323,0.05042465132942471,0.01391909812815775,0.04748051382745244
coverage_matched,scconcept,medium,medium,medium,low,21,0.54034655,-0.019038242982456145,0.9463303263937339,0.7550542255211679,0.1912761008725661,0.2536155273700037,0.01866668808497081,0.008049840121315465,1.0
coverage_matched,scconcept,medium,high,medium,low,16,0.5456760375,-0.11506963999999999,1.5019198501447444,1.2011547719759939,0.3007650781687505,0.25050819478906217,0.029487591543747485,0.011787030814200182,1.0
coverage_matched,scconcept_encoded,high,high,high,low,33,0.5528141757575757,-0.08812421212121209,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,scconcept_encoded,high,high,medium,low,7,0.5267353428571429,-0.10103426666666665,2.2692913856915693,1.8186578198859489,0.4506335658056204,0.24775464955615734,0.05000157983034136,0.013387853437090565,0.04733948999442466
coverage_matched,scconcept_encoded,medium,medium,medium,low,21,0.5275325650793651,-0.01856038333333333,0.9547005069896298,0.7612193430123688,0.193481163977261,0.2544869826556975,0.018913600074670973,0.008148090965202099,1.0
coverage_matched,scconcept_encoded,medium,high,medium,low,16,0.5771668125,-0.07294723999999997,1.5019198501447444,1.2011547719759939,0.3007650781687505,0.25050819478906217,0.029487591543747485,0.011787030814200182,1.0
coverage_matched,v4_bias_rec_best,high,high,high,low,33,0.5925904666666666,-0.04834792121212119,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,v4_bias_rec_best,high,high,medium,low,6,0.5799929333333333,-0.05519223333333331,2.2914136035876247,1.8357084458941422,0.4557051576934827,0.24824315454353327,0.05054752702264187,0.013708725699346294,0.04777081115780387
coverage_matched,v4_bias_rec_best,medium,medium,medium,low,18,0.5274116861111111,-0.01968400882352942,0.9624516773714158,0.7684775191347001,0.19397415823671568,0.2526557209387539,0.019104366260199387,0.007791315895503155,1.0
coverage_matched,v4_bias_rec_best,medium,high,medium,low,15,0.6777337466666666,0.018870186666666688,1.5062942477837515,1.2046031080212523,0.3016911397624994,0.250570104489878,0.029636303587768434,0.011513567486192035,1.0
coverage_matched,v4_plain_best,high,high,high,low,33,0.5807256424242424,-0.06021274545454544,2.9766148720849395,2.381390610380356,0.5952242617045834,0.249914117815154,0.05784886591104124,0.021487481620124933,0.228962558455801
coverage_matched,v4_plain_best,high,high,medium,low,6,0.5842990333333333,-0.050886133333333305,2.2914136035876247,1.8357084458941422,0.4557051576934827,0.24824315454353327,0.05054752702264187,0.013708725699346294,0.04777081115780387
coverage_matched,v4_plain_best,medium,medium,medium,low,18,0.5261925027777778,-0.029242473529411762,0.9466150962533875,0.7562324406210014,0.19038265563238593,0.252037687434822,0.018659066273614244,0.007839884123358955,1.0
