dataset,adata_path,embedding,embedding_path,gene_list_path,pooling,correction_method,seed,batch_key,label_key,n_cells,n_genes_original,n_genes_overlap,n_hvg,n_batches,n_labels,NMI_label,ARI_label,ASW_label,AvgBIO,ASW_batch,GraphConn,AvgBATCH,Overall,batch_predictability_accuracy,label_predictability_accuracy,status,error_message
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,2,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,3,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,minus,/bigdata2/hyt/projects/scbenchmark/save_pretrain/minus/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,4,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,0,batch,celltype,11990,3346,3256,2000,2,9,0.5838716204530056,0.4248225430604987,0.23402512073516846,0.41423976141622426,0.9984735207399353,0.9212167673747279,0.9598451440573317,0.6324819144726672,0.6697247706422018,0.7620239088128996,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,1,batch,celltype,11990,3346,3256,2000,2,9,0.5858625417124796,0.42747638407341765,0.23402512073516846,0.41578801550702194,0.9984735207399353,0.9212167673747279,0.9598451440573317,0.6334108669271459,0.6697247706422018,0.7614678899082569,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,2,batch,celltype,11990,3346,3256,2000,2,9,0.5860140826965048,0.4276315479879574,0.23402512073516846,0.4158902504732102,0.9984735207399353,0.9212167673747279,0.9598451440573317,0.6334722079068589,0.6697247706422018,0.7595218237420073,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,3,batch,celltype,11990,3346,3256,2000,2,9,0.5830541779664206,0.423192094084359,0.23402512073516846,0.41342379759531606,0.9984735207399353,0.9212167673747279,0.9598451440573317,0.6319923361801223,0.6697247706422018,0.7614678899082569,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,none,4,batch,celltype,11990,3346,3256,2000,2,9,0.5860140826965046,0.4276315479879574,0.23402512073516846,0.4158902504732101,0.9984735207399353,0.9212167673747279,0.9598451440573317,0.6334722079068588,0.6697247706422018,0.7603558520989714,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,0,batch,celltype,11990,3346,3256,2000,2,9,0.5847309671195041,0.4229263696507364,0.23478833481758252,0.41414855719594107,0.9986016840687202,0.9208471680393632,0.9597244260540416,0.6323789047391812,0.6697247706422018,0.7609118710036141,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,1,batch,celltype,11990,3346,3256,2000,2,9,0.5850150635468224,0.4233473487787771,0.23478833481758252,0.41438358238106066,0.9986016840687202,0.9208471680393632,0.9597244260540416,0.632519919850253,0.6697247706422018,0.7617458993605782,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,2,batch,celltype,11990,3346,3256,2000,2,9,0.5854002777885995,0.42377644767192707,0.23478833481758252,0.41465502009270305,0.9986016840687202,0.9208471680393632,0.9597244260540416,0.6326827824772385,0.6697247706422018,0.7606338615512928,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,3,batch,celltype,11990,3346,3256,2000,2,9,0.5849508965547006,0.4231527382529757,0.23478833481758252,0.41429732320841967,0.9986016840687202,0.9208471680393632,0.9597244260540416,0.6324681643466684,0.6697247706422018,0.762301918265221,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,linear_residual,4,batch,celltype,11990,3346,3256,2000,2,9,0.5855026144444474,0.42389378854930965,0.23478833481758252,0.41472824593711316,0.9986016840687202,0.9208471680393632,0.9597244260540416,0.6327267179838845,0.6697247706422018,0.76007784264665,OK,
PBMC_10K,data/batch-correction/PBMC_10K_scvi_like.h5ad,baseline,/bigdata2/hyt/projects/scbenchmark/save_pretrain/baseline/best_model.pt,/bigdata2/hyt/projects/scbenchmark/vocab.json,weighted,harmony_optional,0,batch,celltype,11990,3346,3256,2000,2,9,,,,,,,,,,,SKIPPED,harmonypy unavailable
