train_dataset,test_dataset,protocol,embedding,clf,n,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_f1,std_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_precision_at_k,std_precision_at_k,mean_recall_at_k,std_recall_at_k,mean_calibration_brier,std_calibration_brier
mESC,mDC,coverage_matched,cl_v6_fair,mlp,5,0.493043,0.04592564970471295,0.5233972,0.021303667443893313,0.580845,0.07255136818282616,0.4785328,0.033270938095581244,0.536,0.03666060555964671,0.30028,0.020538422334736416,0.493491,0.03708039181022768
mESC,mDC,coverage_matched,minus,mlp,5,0.5656088,0.07584033479989391,0.561819,0.060335153855774655,0.6586408,0.01790821214303652,0.4987168,0.0034634756185080856,0.5569999999999999,0.07379701890998037,0.3713332,0.04919782199406798,0.25152220000000003,0.0020615948583560346
mESC,mDC,coverage_matched,scGPT_human,lr,5,0.5182374,0.009574624475142604,0.6206646,0.005636880967343522,0.5942826,0.023443363398625204,0.5347342,0.014216857365817513,0.64,0.010488088481701525,0.3575416,0.005859122958259205,0.42192860000000004,0.014383910770023567
mESC,mDC,coverage_matched,scGPT_human,mlp,5,0.4392816,0.050730231659632696,0.5642448,0.02501153455028299,0.4627606,0.11474707849806025,0.4715754,0.041669979172541,0.542,0.061040969848127416,0.3027934,0.03410113248911242,0.5259132,0.05325562539075098
mESC,mDC,coverage_matched,scconcept,lr,5,0.5268334,0.002110697950915761,0.5739078,0.001232549130866612,0.546285,0.005788715643387583,0.5021671999999999,0.0034902822464665966,0.611,0.00489897948556636,0.360472,0.002890397896484131,0.4499014,0.015518152977722577
mESC,mDC,coverage_matched,scconcept,mlp,5,0.4918532,0.005464382614715038,0.5390338,0.0026499441050708865,0.6670612,0.02690310235939344,0.4979818,0.005575653626257634,0.53,0.03361547262794321,0.31268460000000003,0.019832117411915453,0.462958,0.005454540530603849
mESC,mDC,coverage_matched,scconcept_encoded,lr,5,0.477862,0.009813115183263678,0.4459242,0.008065274066019085,0.307463,0.013462861345197025,0.4884852,0.00486677270478086,0.423,0.019646882704388496,0.2838926,0.01318591880150944,0.45045999999999997,0.020469572384395333
mESC,mDC,coverage_matched,scconcept_encoded,mlp,5,0.4932122,0.026731757633197253,0.464416,0.0168864914532297,0.401134,0.06210669549412526,0.5020522000000001,0.024236352195823534,0.455,0.029832867780352584,0.3053692,0.020022111331225785,0.4820088,0.027561585145996208
mESC,mDC,coverage_matched,v4_bias_rec_best,mlp,5,0.5128532,0.03509807142507974,0.5128132,0.020418361564043298,0.6336866,0.07666879999999998,0.5042328,0.008465599999999985,0.514,0.026343879744639004,0.4095618,0.020991243711605087,0.2524242,0.001907673598915693
mESC,mDC,coverage_matched,v4_plain_best,lr,5,0.5251732,0.014205789712648858,0.49081400000000003,0.01634565147065115,0.522261,0.0061883476954676594,0.5030164,0.009534403402415896,0.528,0.036414282912066255,0.340645,0.023493144216983824,0.4649796,0.016502605353095022
mESC,mDC,coverage_matched,v4_plain_best,mlp,5,0.511363,0.007961386286319736,0.4614702,0.005526394499128703,0.5978162,0.03566593880665418,0.5009252,0.00805319142700583,0.443,0.03854867053479276,0.2858064,0.02486990567412751,0.5130978,0.0191937260311801
mESC,mDC,coverage_matched,v4_type_pe_best,lr,5,0.4156606,0.006446334294775589,0.4554306,0.002522407627644676,0.510006,0.016508290123450117,0.4620368,0.011161596290853743,0.403,0.009273618495495692,0.2542586,0.005850920016544412,0.5021526000000001,0.012862344010327202
mESC,mDC,coverage_matched,v4_type_pe_best,mlp,5,0.48493020000000003,0.018231812432119868,0.49411160000000004,0.009395646259837595,0.6001622,0.07760740726863642,0.48219,0.01516033883526354,0.497,0.03264965543462902,0.3135646,0.020599139288814964,0.5035006,0.014870850474670249
mESC,mDC,native,baseline,lr,5,0.5284966,0.0008240877623166336,0.5597622,0.0016576063947752997,0.5352486,0.0069093754450022605,0.5361148,0.0075477688199891355,0.631,0.008602325267042634,0.1872404,0.0025524029149019615,0.43521540000000003,0.004800217936719129
mESC,mDC,native,baseline,mlp,5,0.5136854,0.0369757992941329,0.527465,0.0186815763895877,0.5610653999999999,0.0772271525555617,0.5197115999999999,0.033348367747762404,0.526,0.042708313008125234,0.1560832,0.012672984769185193,0.4693968,0.034482306624702454
mESC,mDC,native,cl_scratch_v5,lr,5,0.49999740000000004,0.0010399697303287209,0.5344262,0.0018665850529777646,0.4757846,0.00812340395647046,0.4880496,0.0074740709282157675,0.592,0.013266499161421611,0.17566779999999999,0.003936788406810807,0.4857588,0.005036009467822699
mESC,mDC,native,cl_scratch_v5,mlp,5,0.5187048,0.023333904048829877,0.5284254,0.013557243681515794,0.5051332,0.23248965195586663,0.5241034,0.02223101984705155,0.515,0.04242640687119284,0.152819,0.012589329132245294,0.4659218,0.024764244009458466
mESC,mDC,native,cl_v6_fair,lr,5,0.412975,0.000411483657026611,0.4806874,0.0006793896083986016,0.397016,0.014431311333347362,0.4458046,0.008629265915476253,0.509,0.0020000000000000018,0.1510384,0.0005931999999999937,0.4573588,0.005449577502889565
mESC,mDC,native,cl_v6_fair,mlp,5,0.4857462,0.05415619671062585,0.5153202,0.02651794855866494,0.5656698,0.0746717082659825,0.4980792,0.03935227716613105,0.513,0.03627671429443414,0.1522256,0.010764624296277127,0.48696659999999997,0.04064836064886259
mESC,mDC,native,minus,lr,5,0.5429948,0.00035022244359833897,0.5624308,0.0004931561213246744,0.57293,0.004684245723699837,0.5379532,0.007840763901559578,0.592,0.007483314773547889,0.17566779999999999,0.002220326228282679,0.423134,0.00482989672767442
mESC,mDC,native,minus,mlp,5,0.4978338,0.03501205572599244,0.5196959999999999,0.01668335646085641,0.5298724,0.10947979964285649,0.5071882,0.031136044003052143,0.502,0.024000000000000004,0.1489616,0.007121533334893541,0.4824156,0.03453541962449565
mESC,mDC,native,scGPT_human,lr,5,0.5362832,0.0019802103322627248,0.5404158,0.0010131539665815792,0.5907986,0.007159785488406738,0.5363054,0.00867371889330061,0.604,0.0037416573867739447,0.1792286,0.001110096320145236,0.378058,0.005527045286588473
