train_dataset,test_dataset,direction,protocol,embedding,clf,seed,n_common_genes,retained_fraction,n_train_edges,n_test_edges,oov_train_count,oov_test_count,oov_train_rate,oov_test_rate,oov_policy,auroc,auprc,f1,balanced_accuracy,precision_at_k,recall_at_k,calibration_brier
hESC,hHep,hESC->hHep,native,scGPT_human,mlp,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.563032,0.579288,0.407921,0.550536,0.635,0.188148,0.394952
hESC,hHep,hESC->hHep,native,scGPT_human,mlp,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.578124,0.587264,0.420319,0.562942,0.635,0.188148,0.39506
hESC,hHep,hESC->hHep,native,scGPT_human,mlp,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.561799,0.565739,0.407921,0.550536,0.595,0.176296,0.411607
hESC,hHep,hESC->hHep,native,scGPT_human,mlp,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.564066,0.579205,0.363636,0.543446,0.6,0.177778,0.413326
hESC,hHep,hESC->hHep,native,scGPT_human,mlp,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.592146,0.612813,0.467727,0.571261,0.69,0.204444,0.379959
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,lr,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.575145,0.598917,0.508532,0.563304,0.65,0.192593,0.41024
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,lr,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.569168,0.607744,0.505085,0.556975,0.675,0.2,0.424416
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,lr,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.583029,0.618235,0.517447,0.570122,0.67,0.198519,0.410264
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,lr,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.537916,0.589236,0.482935,0.540326,0.665,0.197037,0.439704
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,lr,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.56159,0.616278,0.504333,0.566821,0.665,0.197037,0.409912
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,mlp,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.584764,0.610707,0.50613,0.573251,0.685,0.202963,0.391188
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,mlp,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.598545,0.628853,0.504021,0.580724,0.705,0.208889,0.39206
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,mlp,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.608285,0.622778,0.52226,0.577192,0.7,0.207407,0.386139
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,mlp,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.596395,0.621039,0.523266,0.589412,0.685,0.202963,0.374572
hESC,hHep,hESC->hHep,native,v4_bias_rec_best,mlp,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.600759,0.625758,0.516579,0.58081,0.7,0.207407,0.383263
hESC,hHep,hESC->hHep,native,v4_plain_best,lr,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.571909,0.581167,0.446111,0.554461,0.635,0.188148,0.422448
hESC,hHep,hESC->hHep,native,v4_plain_best,lr,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.55269,0.567807,0.476619,0.56022,0.63,0.186667,0.412153
hESC,hHep,hESC->hHep,native,v4_plain_best,lr,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.571026,0.594517,0.491892,0.574058,0.67,0.198519,0.407454
hESC,hHep,hESC->hHep,native,v4_plain_best,lr,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.534195,0.55529,0.4708,0.554834,0.61,0.180741,0.427879
hESC,hHep,hESC->hHep,native,v4_plain_best,lr,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.561656,0.583724,0.471429,0.552359,0.635,0.188148,0.421046
hESC,hHep,hESC->hHep,native,v4_plain_best,mlp,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.625229,0.633409,0.538805,0.60978,0.705,0.208889,0.351007
hESC,hHep,hESC->hHep,native,v4_plain_best,mlp,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.611966,0.611416,0.52305,0.593519,0.68,0.201481,0.361886
hESC,hHep,hESC->hHep,native,v4_plain_best,mlp,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.618269,0.612664,0.532743,0.601128,0.645,0.191111,0.362014
hESC,hHep,hESC->hHep,native,v4_plain_best,mlp,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.606154,0.607674,0.511504,0.582745,0.65,0.192593,0.37683
hESC,hHep,hESC->hHep,native,v4_plain_best,mlp,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.593582,0.603785,0.483901,0.576935,0.665,0.197037,0.378088
hESC,hHep,hESC->hHep,native,v4_type_pe_best,lr,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.58784,0.612283,0.431641,0.562438,0.68,0.201481,0.42204
hESC,hHep,hESC->hHep,native,v4_type_pe_best,lr,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.617404,0.637657,0.451923,0.571226,0.69,0.204444,0.40323
hESC,hHep,hESC->hHep,native,v4_type_pe_best,lr,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.655193,0.656486,0.479307,0.593463,0.685,0.202963,0.388613
hESC,hHep,hESC->hHep,native,v4_type_pe_best,lr,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.639612,0.643747,0.50782,0.59685,0.7,0.207407,0.386658
hESC,hHep,hESC->hHep,native,v4_type_pe_best,lr,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.619943,0.646447,0.477167,0.577288,0.75,0.222222,0.400364
hESC,hHep,hESC->hHep,native,v4_type_pe_best,mlp,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.669167,0.671881,0.504233,0.603582,0.72,0.213333,0.354138
hESC,hHep,hESC->hHep,native,v4_type_pe_best,mlp,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.66558,0.68355,0.535912,0.620619,0.755,0.223704,0.341908
hESC,hHep,hESC->hHep,native,v4_type_pe_best,mlp,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.661794,0.671903,0.502836,0.604474,0.73,0.216296,0.351365
hESC,hHep,hESC->hHep,native,v4_type_pe_best,mlp,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.671909,0.680773,0.54,0.618734,0.73,0.216296,0.344529
