train_dataset,test_dataset,direction,protocol,embedding,clf,seed,n_common_genes,retained_fraction,n_train_edges,n_test_edges,oov_train_count,oov_test_count,oov_train_rate,oov_test_rate,oov_policy,auroc,auprc,f1,balanced_accuracy,precision_at_k,recall_at_k,calibration_brier
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,lr,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.618955,0.631625,0.496815,0.58015,0.69,0.207207,0.392599
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,lr,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.60738,0.630475,0.500445,0.573675,0.69,0.207207,0.39815
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,lr,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.619102,0.622505,0.487761,0.570907,0.69,0.207207,0.393475
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,lr,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.589561,0.611464,0.494303,0.561166,0.665,0.1997,0.406449
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,lr,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.609681,0.619131,0.475836,0.572067,0.68,0.204204,0.400781
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,mlp,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.63737,0.642931,0.522968,0.589617,0.72,0.216216,0.35579
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,mlp,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.632981,0.638994,0.509091,0.590085,0.705,0.211712,0.36191
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,mlp,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.637013,0.636468,0.535065,0.591576,0.69,0.207207,0.357939
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,mlp,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.646604,0.647479,0.551426,0.605324,0.715,0.214715,0.343934
hESC,mHSC-L,hESC->mHSC-L,native,v4_bias_rec_best,mlp,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.643998,0.64437,0.54624,0.600732,0.67,0.201201,0.353672
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,lr,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.595765,0.588389,0.413793,0.549233,0.59,0.177177,0.423943
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,lr,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.570115,0.570035,0.430797,0.52822,0.55,0.165165,0.429448
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,lr,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.596383,0.584303,0.473214,0.551523,0.58,0.174174,0.413808
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,lr,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.580876,0.570191,0.48559,0.551922,0.55,0.165165,0.413405
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,lr,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.593553,0.581124,0.430595,0.542466,0.585,0.175676,0.422563
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,mlp,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.628718,0.625375,0.436047,0.558935,0.685,0.205706,0.365207
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,mlp,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.627998,0.61499,0.441459,0.558788,0.66,0.198198,0.368837
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,mlp,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.639773,0.632508,0.50457,0.588642,0.715,0.214715,0.347984
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,mlp,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.627922,0.630799,0.50225,0.579974,0.685,0.205706,0.356785
hESC,mHSC-L,hESC->mHSC-L,native,v4_plain_best,mlp,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.61993,0.622998,0.49262,0.582666,0.68,0.204204,0.354762
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,lr,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.615039,0.607274,0.468203,0.561986,0.645,0.193694,0.403729
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,lr,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.616061,0.604467,0.475836,0.572067,0.66,0.198198,0.397591
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,lr,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.626827,0.61318,0.478022,0.567241,0.645,0.193694,0.394305
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,lr,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.615452,0.608737,0.451796,0.560085,0.625,0.187688,0.405168
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,lr,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.64576,0.635484,0.520426,0.589705,0.695,0.208709,0.374805
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,mlp,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.681566,0.664432,0.563969,0.619218,0.73,0.219219,0.306324
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,mlp,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.694366,0.679283,0.542778,0.623188,0.745,0.223724,0.314459
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,mlp,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.68749,0.675745,0.572178,0.628491,0.745,0.223724,0.308886
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,mlp,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.681775,0.670838,0.56168,0.619306,0.745,0.223724,0.316896
hESC,mHSC-L,hESC->mHSC-L,native,v4_type_pe_best,mlp,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.665914,0.652094,0.554301,0.610004,0.71,0.213213,0.330335
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,lr,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.538419,0.547774,0.294505,0.514797,0.58,0.174174,0.452127
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,lr,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.543446,0.557371,0.29989,0.520199,0.605,0.181682,0.443494
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,lr,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.550827,0.556079,0.320856,0.519789,0.58,0.174174,0.446206
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,lr,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.554182,0.560531,0.322718,0.51739,0.615,0.184685,0.446102
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,lr,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.536705,0.545864,0.285068,0.522832,0.58,0.174174,0.448043
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,mlp,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.53022,0.545189,0.30786,0.520832,0.595,0.178679,0.403869
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,mlp,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.536857,0.540472,0.254042,0.51238,0.55,0.165165,0.412308
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,mlp,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.526349,0.533111,0.215496,0.511435,0.53,0.159159,0.440621
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,mlp,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.538196,0.553224,0.284414,0.525201,0.6,0.18018,0.400541
hESC,mHSC-L,hESC->mHSC-L,native,scconcept,mlp,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.545057,0.560187,0.291069,0.514076,0.57,0.171171,0.414102
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,lr,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.563697,0.552414,0.405278,0.521006,0.55,0.165165,0.438675
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,lr,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.569532,0.564182,0.455122,0.543353,0.58,0.174174,0.419084
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,lr,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.546391,0.540118,0.401896,0.521094,0.505,0.151652,0.448224
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,lr,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.551094,0.549623,0.420956,0.521376,0.585,0.175676,0.435851
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,lr,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.544304,0.541158,0.406812,0.524126,0.51,0.153153,0.448405
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,mlp,0,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.5418,0.556558,0.498769,0.534,0.575,0.172673,0.404119
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,mlp,1,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.556341,0.554341,0.467487,0.539013,0.58,0.174174,0.386883
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,mlp,2,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.530443,0.545675,0.42115,0.526115,0.555,0.166667,0.401273
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,mlp,3,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.545428,0.556796,0.52549,0.537773,0.575,0.172673,0.391039
hESC,mHSC-L,hESC->mHSC-L,native,scconcept_encoded,mlp,4,4762,1.0,5221,1307,1561,867,0.1116914710933028,0.1820663586728265,mean_embedding,0.55189,0.56836,0.462207,0.528873,0.595,0.178679,0.412896
hESC,mHSC-L,hESC->mHSC-L,strict,minus,lr,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.573829,0.545651,0.3257,0.526415,0.525,0.380435,0.374612
hESC,mHSC-L,hESC->mHSC-L,strict,minus,lr,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.630576,0.587345,0.457778,0.566662,0.6,0.434783,0.334477
hESC,mHSC-L,hESC->mHSC-L,strict,minus,lr,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.582984,0.565108,0.356589,0.554054,0.57,0.413043,0.372848
hESC,mHSC-L,hESC->mHSC-L,strict,minus,lr,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.636671,0.617019,0.451765,0.584386,0.6,0.434783,0.333589
hESC,mHSC-L,hESC->mHSC-L,strict,minus,lr,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.624749,0.588107,0.404706,0.549378,0.61,0.442029,0.342964
hESC,mHSC-L,hESC->mHSC-L,strict,minus,mlp,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.592973,0.579525,0.373737,0.556355,0.575,0.416667,0.365612
hESC,mHSC-L,hESC->mHSC-L,strict,minus,mlp,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.587636,0.576295,0.414747,0.548179,0.535,0.387681,0.317894
hESC,mHSC-L,hESC->mHSC-L,strict,minus,mlp,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.597967,0.538292,0.342569,0.533661,0.565,0.40942,0.298874
hESC,mHSC-L,hESC->mHSC-L,strict,minus,mlp,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.621922,0.599448,0.33244,0.553197,0.595,0.431159,0.296996
hESC,mHSC-L,hESC->mHSC-L,strict,minus,mlp,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.658435,0.640523,0.540984,0.603995,0.625,0.452899,0.259007
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,lr,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.567035,0.536422,0.451193,0.551581,0.55,0.398551,0.362144
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,lr,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.596498,0.547146,0.422222,0.538656,0.545,0.394928,0.356273
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,lr,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.583376,0.534157,0.419643,0.538533,0.55,0.398551,0.358097
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,lr,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.590831,0.544257,0.418182,0.545045,0.55,0.398551,0.356065
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,lr,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.588872,0.543896,0.425339,0.548668,0.56,0.405797,0.354083
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,mlp,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.586681,0.561061,0.354756,0.550676,0.55,0.398551,0.364659
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,mlp,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.580928,0.567091,0.444444,0.547958,0.56,0.405797,0.292536
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,mlp,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.61514,0.576055,0.395122,0.557212,0.58,0.42029,0.288126
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,mlp,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.614908,0.593357,0.433333,0.575328,0.59,0.427536,0.290358
hESC,mHSC-L,hESC->mHSC-L,strict,baseline,mlp,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.637381,0.600599,0.474886,0.590433,0.625,0.452899,0.315421
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,lr,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.580059,0.548002,0.276423,0.521445,0.565,0.40942,0.360313
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,lr,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.575469,0.548166,0.365854,0.536207,0.575,0.416667,0.346338
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,lr,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.583284,0.544403,0.345,0.532095,0.55,0.398551,0.355437
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,lr,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.615924,0.593806,0.365979,0.559366,0.595,0.431159,0.343969
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,lr,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.585867,0.55651,0.302872,0.522302,0.575,0.416667,0.35835
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,mlp,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.587085,0.5838,0.241888,0.537113,0.57,0.413043,0.308138
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,mlp,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.595984,0.573395,0.290411,0.535204,0.585,0.423913,0.337769
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,mlp,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.570169,0.568529,0.282486,0.543282,0.55,0.398551,0.29989
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,mlp,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.620159,0.591301,0.261628,0.54267,0.58,0.42029,0.315384
hESC,mHSC-L,hESC->mHSC-L,strict,scGPT_human,mlp,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.590084,0.545213,0.296496,0.53207,0.56,0.405797,0.363219
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,lr,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.572678,0.545607,0.389671,0.537187,0.555,0.402174,0.380779
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,lr,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.544219,0.539591,0.440087,0.544458,0.55,0.398551,0.382385
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,lr,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.573939,0.547152,0.450893,0.563039,0.575,0.416667,0.366763
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,lr,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.598261,0.582291,0.439252,0.572317,0.59,0.427536,0.367551
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,lr,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.561919,0.535593,0.388759,0.535497,0.545,0.394928,0.391803
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,mlp,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.593328,0.560525,0.383292,0.551777,0.585,0.423913,0.364107
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,mlp,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.611493,0.576898,0.425428,0.579906,0.59,0.427536,0.360212
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,mlp,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.598971,0.567977,0.431555,0.563749,0.565,0.40942,0.347611
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,mlp,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.619865,0.582774,0.406542,0.547811,0.595,0.431159,0.300814
hESC,mHSC-L,hESC->mHSC-L,strict,v4_bias_rec_best,mlp,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.650797,0.605256,0.493562,0.581644,0.61,0.442029,0.287477
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,lr,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.600378,0.575066,0.42623,0.563504,0.565,0.40942,0.351725
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,lr,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.615875,0.599905,0.466368,0.576919,0.585,0.423913,0.336139
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,lr,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.582936,0.570295,0.442953,0.557726,0.55,0.398551,0.358843
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,lr,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.635717,0.618619,0.423077,0.571582,0.62,0.449275,0.334093
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,lr,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.610648,0.596706,0.414118,0.55638,0.57,0.413043,0.350094
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,mlp,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.623182,0.604899,0.429952,0.578462,0.59,0.427536,0.354292
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,mlp,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.64972,0.606522,0.43026,0.57026,0.575,0.416667,0.297067
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,mlp,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.635141,0.60349,0.389294,0.552022,0.61,0.442029,0.320945
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,mlp,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.646145,0.60336,0.424942,0.556869,0.6,0.434783,0.276501
hESC,mHSC-L,hESC->mHSC-L,strict,v4_plain_best,mlp,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.627258,0.593016,0.273743,0.533025,0.6,0.434783,0.293395
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,lr,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.616022,0.595038,0.449889,0.561349,0.575,0.416667,0.336991
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,lr,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.592716,0.575869,0.421546,0.560003,0.585,0.423913,0.342338
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,lr,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.620049,0.59808,0.475162,0.569208,0.595,0.431159,0.331474
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,lr,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.642461,0.600875,0.433566,0.567127,0.61,0.442029,0.329419
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,lr,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.63251,0.599976,0.474041,0.585488,0.615,0.445652,0.326946
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,mlp,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.637442,0.602051,0.42654,0.568449,0.625,0.452899,0.271702
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,mlp,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.616242,0.588301,0.476395,0.567641,0.58,0.42029,0.286857
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,mlp,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.656336,0.607991,0.50431,0.592024,0.63,0.456522,0.28857
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,mlp,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.610012,0.567006,0.410628,0.564458,0.605,0.438406,0.316573
hESC,mHSC-L,hESC->mHSC-L,strict,v4_type_pe_best,mlp,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.597906,0.558933,0.421525,0.541911,0.565,0.40942,0.294927
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,lr,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.548717,0.530464,0.014235,0.498556,0.55,0.398551,0.441484
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,lr,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.574239,0.544267,0.087542,0.510037,0.57,0.413043,0.415882
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,lr,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.573449,0.539712,0.055172,0.504358,0.555,0.402174,0.428524
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,lr,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.577476,0.557706,0.041812,0.502424,0.55,0.398551,0.426817
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,lr,4,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.553356,0.522439,0.028169,0.50049,0.535,0.387681,0.430558
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,mlp,0,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.549629,0.528675,0.014035,0.491799,0.54,0.391304,0.440054
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,mlp,1,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.533227,0.509098,0.09901,0.506904,0.525,0.380435,0.357123
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,mlp,2,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.556875,0.521091,0.087248,0.508348,0.52,0.376812,0.399196
hESC,mHSC-L,hESC->mHSC-L,strict,scconcept,mlp,3,2845,0.5974380512389752,412,572,49,50,0.0172231985940246,0.0175746924428822,mean_embedding,0.536789,0.509176,0.014134,0.495177,0.495,0.358696,0.430757
