dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mHSC-GM500,cl_scratch_v5,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7386119873817035,0.8141623955805117
mHSC-GM500,random_256,in_domain,mHSC-GM500,mHSC-GM500,lr,500/500,0.6789589905362776,0.7618802149005124
mHSC-GM500,random_256,in_domain,mHSC-GM500,mHSC-GM500,mlp,500/500,0.6510094637223974,0.7617281320850706
mHSC-L500,minus,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7489013124458129,0.8118311677282873
mHSC-L500,minus,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7715427466690584,0.8419739997547472
mHSC-L500,baseline,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7396733335326418,0.8070175977003481
mHSC-L500,baseline,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7434900893898174,0.8200286067549272
mHSC-L500,scGPT_human,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7336043927571327,0.8090482381880862
mHSC-L500,scGPT_human,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7699881411502087,0.8285945530752937
mHSC-L500,v4_bias_rec_best,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7287910949006947,0.7921597782508171
mHSC-L500,v4_bias_rec_best,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7528177225029149,0.8148297986169186
mHSC-L500,v4_plain_best,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7466790237874574,0.8122353580800536
mHSC-L500,v4_plain_best,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7760670473457104,0.8411635852978965
mHSC-L500,v4_type_pe_best,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7355775459156727,0.8161366720745905
mHSC-L500,v4_type_pe_best,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7662610740729667,0.8410153851238273
mHSC-L500,scconcept,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7202009028670512,0.7907106482963748
