dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
mHSC-L500->hHep500,v4_bias_rec_best,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_bias_rec_best,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_plain_best,transfer,mHSC-L500,hHep500,lr,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,v4_plain_best,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_type_pe_best,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,v4_type_pe_best,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,scconcept,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,scconcept,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,scconcept_encoded,transfer,mHSC-L500,hHep500,lr,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,scconcept_encoded,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,0.0,0.5
mHSC-L500->hHep500,cl_scratch_v5,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,cl_scratch_v5,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->mHSC-E500,minus,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6686111831302395,0.7599214249903194
mHSC-L500->mHSC-E500,minus,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7344654740299024,0.8187191417632523
mHSC-L500->mHSC-E500,baseline,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.679111572033532,0.7848657694833492
mHSC-L500->mHSC-E500,baseline,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7476233687667444,0.829218190213507
mHSC-L500->mHSC-E500,scGPT_human,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6316221588453894,0.7277663566213686
mHSC-L500->mHSC-E500,scGPT_human,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7291072508858353,0.8188223581083329
mHSC-L500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6562527007173105,0.7494900865094847
mHSC-L500->mHSC-E500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.6979301702532192,0.7815623129728095
mHSC-L500->mHSC-E500,v4_plain_best,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6057816956183563,0.6973325969207835
mHSC-L500->mHSC-E500,v4_plain_best,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7138535995160313,0.8028933378600495
mHSC-L500->mHSC-E500,v4_type_pe_best,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6044637455708236,0.7087846011457593
mHSC-L500->mHSC-E500,v4_type_pe_best,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7452251317950047,0.8246799326912725
mHSC-L500->mHSC-E500,scconcept,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.5969017371013742,0.7009778501058742
mHSC-L500->mHSC-E500,scconcept,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7024025581194365,0.8039988847438472
mHSC-L500->mHSC-E500,scconcept_encoded,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6114856105781695,0.711247652172947
mHSC-L500->mHSC-E500,scconcept_encoded,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.6379310344827587,0.754479410511976
mHSC-L500->mHSC-E500,cl_scratch_v5,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6033618529081324,0.7020632593916122
mHSC-L500->mHSC-E500,cl_scratch_v5,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.717461757842883,0.7915327353796155
mHSC-L500->mHSC-GM500,minus,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7600630914826498,0.8103837970748666
mHSC-L500->mHSC-GM500,minus,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8460094637223975,0.8752899091857512
mHSC-L500->mHSC-GM500,baseline,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7652839116719243,0.8147551108798285
mHSC-L500->mHSC-GM500,baseline,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8698422712933754,0.9041699613819234
mHSC-L500->mHSC-GM500,scGPT_human,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.8210410094637223,0.851429866969966
mHSC-L500->mHSC-GM500,scGPT_human,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8955835962145111,0.930260764880218
mHSC-L500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7619400630914827,0.8106679207505147
mHSC-L500->mHSC-GM500,v4_bias_rec_best,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8821293375394321,0.9153236375165316
mHSC-L500->mHSC-GM500,v4_plain_best,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7665615141955835,0.8010885330576871
mHSC-L500->mHSC-GM500,v4_plain_best,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8865299684542586,0.90417729350741
mHSC-L500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7796529968454259,0.8150982122890555
mHSC-L500->mHSC-GM500,v4_type_pe_best,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.857634069400631,0.8947586807616279
mHSC-L500->mHSC-GM500,scconcept,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7517507886435332,0.7733046202846381
mHSC-L500->mHSC-GM500,scconcept,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8554889589905362,0.8705352052456174
mHSC-L500->mHSC-GM500,scconcept_encoded,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7683753943217667,0.8100533860469137
mHSC-L500->mHSC-GM500,scconcept_encoded,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.832705047318612,0.8616320658555032
mHSC-L500->mHSC-GM500,cl_scratch_v5,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.786545741324921,0.841647746674475
mHSC-L500->mHSC-GM500,cl_scratch_v5,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8938958990536277,0.923766480388807
hHep500,cl_v6_fair,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
mHSC-E500,cl_v6_fair,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6715927750410509,0.7840555646544316
mHSC-E500,cl_v6_fair,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.6993777547316566,0.8126011927267585
mHSC-GM500,cl_v6_fair,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7080757097791799,0.7812475698103479
mHSC-GM500,cl_v6_fair,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7341009463722398,0.8081914911107411
mHSC-L500,cl_v6_fair,in_domain,mHSC-L500,mHSC-L500,lr,442/500,0.7261801548626267,0.8030176604498003
mHSC-L500,cl_v6_fair,in_domain,mHSC-L500,mHSC-L500,mlp,442/500,0.7732966605877605,0.8419054373562225
hHep500->mHSC-E500,cl_v6_fair,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5151240169388989,0.6579548625906005
hHep500->mHSC-GM500,cl_v6_fair,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.4855362776025237,0.6029686938208798
hHep500->mHSC-L500,cl_v6_fair,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5224172122734112,0.6505598822194698
mHSC-E500->hHep500,cl_v6_fair,transfer,mHSC-E500,hHep500,lr,457/500->487/500,0.0,0.5
mHSC-E500->hHep500,cl_v6_fair,transfer,mHSC-E500,hHep500,mlp,457/500->487/500,0.0,0.5
mHSC-E500->mHSC-GM500,cl_v6_fair,transfer,mHSC-E500,mHSC-GM500,lr,457/500->449/500,0.6162302839116719,0.6944916171735801
mHSC-E500->mHSC-GM500,cl_v6_fair,transfer,mHSC-E500,mHSC-GM500,mlp,457/500->449/500,0.6477444794952683,0.7803119457218635
mHSC-E500->mHSC-L500,cl_v6_fair,transfer,mHSC-E500,mHSC-L500,lr,457/500->442/500,0.5897884341335566,0.6858268151328417
mHSC-E500->mHSC-L500,cl_v6_fair,transfer,mHSC-E500,mHSC-L500,mlp,457/500->442/500,0.6886404177504061,0.7869044316363475
mHSC-GM500->hHep500,cl_v6_fair,transfer,mHSC-GM500,hHep500,lr,449/500->487/500,1.0,1.0
mHSC-GM500->hHep500,cl_v6_fair,transfer,mHSC-GM500,hHep500,mlp,449/500->487/500,0.0,0.5
mHSC-GM500->mHSC-E500,cl_v6_fair,transfer,mHSC-GM500,mHSC-E500,lr,449/500->457/500,0.6670339642208971,0.7591363794266075
mHSC-GM500->mHSC-E500,cl_v6_fair,transfer,mHSC-GM500,mHSC-E500,mlp,449/500->457/500,0.7287615590700891,0.8177751030322467
mHSC-GM500->mHSC-L500,cl_v6_fair,transfer,mHSC-GM500,mHSC-L500,lr,449/500->442/500,0.7664852960228008,0.8164986248685441
mHSC-GM500->mHSC-L500,cl_v6_fair,transfer,mHSC-GM500,mHSC-L500,mlp,449/500->442/500,0.8099096136406669,0.8738290506603765
mHSC-L500->hHep500,cl_v6_fair,transfer,mHSC-L500,hHep500,lr,442/500->487/500,1.0,1.0
mHSC-L500->hHep500,cl_v6_fair,transfer,mHSC-L500,hHep500,mlp,442/500->487/500,1.0,1.0
mHSC-L500->mHSC-E500,cl_v6_fair,transfer,mHSC-L500,mHSC-E500,lr,442/500->457/500,0.6281004234724743,0.7246036225050834
mHSC-L500->mHSC-E500,cl_v6_fair,transfer,mHSC-L500,mHSC-E500,mlp,442/500->457/500,0.7078039927404719,0.8035215667360922
mHSC-L500->mHSC-GM500,cl_v6_fair,transfer,mHSC-L500,mHSC-GM500,lr,442/500->449/500,0.7721293375394321,0.833240637442177
mHSC-L500->mHSC-GM500,cl_v6_fair,transfer,mHSC-L500,mHSC-GM500,mlp,442/500->449/500,0.8761041009463721,0.9163419699425228
