gene,mse,mae,dataset,embedding,model,split_mode,prompt_ratio,seed
GAPDHP28,0.001354236388579011,0.027690201997756958,test_data,minus,ridge_pair,cell_holdout,0.1,0
MANSC1,0.0014298732858151197,0.028452422469854355,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-369K17.1,0.0013615257339552045,0.027214406058192253,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-666A8.9,0.0018669047858566046,0.02487950213253498,test_data,minus,ridge_pair,cell_holdout,0.1,0
PANK2,0.0016398350708186626,0.029883963987231255,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-95I16.6,0.0013088984414935112,0.02738710679113865,test_data,minus,ridge_pair,cell_holdout,0.1,0
ACSM2A,0.0012210157001391053,0.02638130821287632,test_data,minus,ridge_pair,cell_holdout,0.1,0
AP000233.3,0.0013340921141207218,0.027483655139803886,test_data,minus,ridge_pair,cell_holdout,0.1,0
SIGLEC24P,0.0016866829246282578,0.030364494770765305,test_data,minus,ridge_pair,cell_holdout,0.1,0
AC006077.3,0.0014175608521327376,0.028248950839042664,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-344P13.4,0.001350290491245687,0.02677251771092415,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP4-612B18.3,0.0012578369351103902,0.027246255427598953,test_data,minus,ridge_pair,cell_holdout,0.1,0
RPL24P7,0.002082515275105834,0.03296604007482529,test_data,minus,ridge_pair,cell_holdout,0.1,0
MIR21,0.0017810516292229295,0.03217504173517227,test_data,baseline,ridge_pair,cell_holdout,0.1,0
LLNLF-158E9.1,0.04441265016794205,0.11030567437410355,test_data,baseline,ridge_pair,cell_holdout,0.1,0
BNIP3P17,0.002902334788814187,0.0349404513835907,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CTC-412M14.6,0.006919603794813156,0.03581780940294266,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-638L3.2,0.09059440344572067,0.1905859112739563,test_data,baseline,ridge_pair,cell_holdout,0.1,0
Y_RNA_ENSG00000252021,0.3171966075897217,0.3943061828613281,test_data,baseline,ridge_pair,cell_holdout,0.1,0
YWHAQP6,0.012987404130399227,0.050054024904966354,test_data,baseline,ridge_pair,cell_holdout,0.1,0
AC004985.12,0.007216861937195063,0.04043404385447502,test_data,baseline,ridge_pair,cell_holdout,0.1,0
MTCO2P34,0.00986720621585846,0.04611150920391083,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP5-1166A24.1,0.09150152653455734,0.17007042467594147,test_data,baseline,ridge_pair,cell_holdout,0.1,0
PPIAP62,0.001601002411916852,0.030630292370915413,test_data,baseline,ridge_pair,cell_holdout,0.1,0
PAXBP1P1,0.009915778413414955,0.041455961763858795,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RNU2-65P,0.404026597738266,0.4541572332382202,test_data,baseline,ridge_pair,cell_holdout,0.1,0
LRRC37A6P,0.06382624059915543,0.1324457973241806,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CTD-3091F23.1,0.001033767475746572,0.02386695146560669,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CTD-3222D19.8,0.012951752170920372,0.04575128108263016,test_data,baseline,ridge_pair,cell_holdout,0.1,0
HMGB1P6,0.005925443023443222,0.035643912851810455,test_data,baseline,ridge_pair,cell_holdout,0.1,0
AC097467.2,0.04623116925358772,0.10579220950603485,test_data,baseline,ridge_pair,cell_holdout,0.1,0
MSMO1,0.22339247167110443,0.35833466053009033,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RPS3P2,0.10568230599164963,0.19401876628398895,test_data,baseline,ridge_pair,cell_holdout,0.1,0
GPR149,0.03815813735127449,0.08955536037683487,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP1-302D9.1,0.015893029049038887,0.04935689643025398,test_data,baseline,ridge_pair,cell_holdout,0.1,0
OR2AG1,0.0019290947820991278,0.033189866691827774,test_data,baseline,ridge_pair,cell_holdout,0.1,0
ARHGAP26-AS1,0.0020188852213323116,0.0308900885283947,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP5-832C2.5,0.0028688146267086267,0.0351911224424839,test_data,baseline,ridge_pair,cell_holdout,0.1,0
TMEM163,0.0016750011127442122,0.02694142982363701,test_data,baseline,ridge_pair,cell_holdout,0.1,0
MIR7515HG,0.06078734248876572,0.09766798466444016,test_data,baseline,ridge_pair,cell_holdout,0.1,0
MRGPRX4,0.0010930447606369853,0.025138182565569878,test_data,baseline,ridge_pair,cell_holdout,0.1,0
PRR12,0.0019104003440588713,0.03344300016760826,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RNU6-1316P,0.008717806078493595,0.04205233231186867,test_data,baseline,ridge_pair,cell_holdout,0.1,0
AMY1A,0.0022871389519423246,0.030339008197188377,test_data,baseline,ridge_pair,cell_holdout,0.1,0
ARIH2OS,0.002513011684641242,0.028948139399290085,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-700H6.2,0.0022171284072101116,0.03626581281423569,test_data,baseline,ridge_pair,cell_holdout,0.1,0
ABCC1,0.007495243102312088,0.040412891656160355,test_data,baseline,ridge_pair,cell_holdout,0.1,0
ADGRG7,0.0020898510701954365,0.028044316917657852,test_data,baseline,ridge_pair,cell_holdout,0.1,0
ACSM6,0.005966437514871359,0.03948807343840599,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CR1,0.13236959278583527,0.24794411659240723,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CRCT1,0.027811188250780106,0.06651908904314041,test_data,baseline,ridge_pair,cell_holdout,0.1,0
SMG7,0.001249208697117865,0.027450645342469215,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-16L14.2,0.018780600279569626,0.06538999825716019,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CIBAR1P1,0.0017368387198075652,0.028092456981539726,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CTD-2619J13.9,0.09526079148054123,0.11314745992422104,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-717A5.3,0.0026054708287119865,0.02906186692416668,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CTD-2027I19.3,0.001185575034469366,0.02601095661520958,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-42H13.1,0.001397482119500637,0.02720917947590351,test_data,baseline,ridge_pair,cell_holdout,0.1,0
ERICH6,0.001642921008169651,0.028600726276636124,test_data,baseline,ridge_pair,cell_holdout,0.1,0
WASHC4,0.0012243867386132479,0.02676711603999138,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP1-269M15.3,0.0014445690903812647,0.028228759765625,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RNU6-1153P,0.0014219307340681553,0.02834305167198181,test_data,baseline,ridge_pair,cell_holdout,0.1,0
CWF19L2,0.0014118802500888705,0.02959386445581913,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-24J19.1,0.0014849541475996375,0.027394283562898636,test_data,baseline,ridge_pair,cell_holdout,0.1,0
GAPDHP28,0.0013595196651294827,0.02824769914150238,test_data,baseline,ridge_pair,cell_holdout,0.1,0
MANSC1,0.0011755797313526273,0.025293363258242607,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-369K17.1,0.002154080430045724,0.03472551703453064,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-666A8.9,0.0023798218462616205,0.03053099848330021,test_data,baseline,ridge_pair,cell_holdout,0.1,0
PANK2,0.0018647527322173119,0.031423136591911316,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-95I16.6,0.0014419486979022622,0.029203688725829124,test_data,baseline,ridge_pair,cell_holdout,0.1,0
ACSM2A,0.0015354461502283812,0.03161484748125076,test_data,baseline,ridge_pair,cell_holdout,0.1,0
AP000233.3,0.001290218555368483,0.026231758296489716,test_data,baseline,ridge_pair,cell_holdout,0.1,0
SIGLEC24P,0.001784804160706699,0.03212076053023338,test_data,baseline,ridge_pair,cell_holdout,0.1,0
AC006077.3,0.0013549565337598324,0.02890150621533394,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP11-344P13.4,0.0013014397118240595,0.026371143758296967,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RP4-612B18.3,0.001499311882071197,0.029766853898763657,test_data,baseline,ridge_pair,cell_holdout,0.1,0
RPL24P7,0.0018458920530974865,0.03319000452756882,test_data,baseline,ridge_pair,cell_holdout,0.1,0
MIR21,0.0018733077449724078,0.03365359455347061,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
LLNLF-158E9.1,0.0432930588722229,0.11188709735870361,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
BNIP3P17,0.003218919737264514,0.03900081664323807,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CTC-412M14.6,0.006528960540890694,0.03609881177544594,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-638L3.2,0.08973576128482819,0.18963824212551117,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
Y_RNA_ENSG00000252021,0.28191593289375305,0.3602243959903717,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
YWHAQP6,0.013083316385746002,0.05029519647359848,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
AC004985.12,0.006951863411813974,0.03835262730717659,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
MTCO2P34,0.01006951741874218,0.04854660481214523,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP5-1166A24.1,0.08814073354005814,0.16831350326538086,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
PPIAP62,0.0021862066350877285,0.03501279652118683,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
PAXBP1P1,0.01086270622909069,0.05287408083677292,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RNU2-65P,0.38169655203819275,0.4381345808506012,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
LRRC37A6P,0.06280118972063065,0.13460896909236908,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CTD-3091F23.1,0.0019072010181844234,0.03238791227340698,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CTD-3222D19.8,0.013159014284610748,0.04733927175402641,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
HMGB1P6,0.006708336994051933,0.04052483290433884,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
AC097467.2,0.046866536140441895,0.1107308492064476,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
MSMO1,0.21105261147022247,0.34905388951301575,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RPS3P2,0.09598535299301147,0.19001977145671844,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
GPR149,0.036635324358940125,0.08729301393032074,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP1-302D9.1,0.015099430456757545,0.053776904940605164,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
OR2AG1,0.001717165345326066,0.03209226205945015,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
ARHGAP26-AS1,0.0025788836646825075,0.03697122260928154,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP5-832C2.5,0.0028129550628364086,0.035235919058322906,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
TMEM163,0.0027849969919770956,0.03456079959869385,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
MIR7515HG,0.059542812407016754,0.10175298899412155,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
MRGPRX4,0.0014657217543572187,0.029400832951068878,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
PRR12,0.0016683300491422415,0.031081972643733025,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RNU6-1316P,0.009311306290328503,0.04437969624996185,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
AMY1A,0.002728845924139023,0.03417591378092766,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
ARIH2OS,0.0034437261056154966,0.035321060568094254,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-700H6.2,0.001854486996307969,0.032051436603069305,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
ABCC1,0.007171924225986004,0.03965358808636665,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
ADGRG7,0.0029891214799135923,0.03690768778324127,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
ACSM6,0.005777826998382807,0.04173478111624718,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CR1,0.12953011691570282,0.2452310174703598,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CRCT1,0.027465663850307465,0.0728326365351677,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
SMG7,0.001698155072517693,0.03181030601263046,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-16L14.2,0.01856549084186554,0.0633886381983757,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CIBAR1P1,0.0028673207852989435,0.036780454218387604,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CTD-2619J13.9,0.095695860683918,0.11680090427398682,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-717A5.3,0.0026102580595761538,0.030075877904891968,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CTD-2027I19.3,0.0017069779569283128,0.03094841167330742,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-42H13.1,0.0020923507399857044,0.03463028743863106,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
ERICH6,0.0018309054430574179,0.0314280241727829,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
WASHC4,0.0017548197647556663,0.0323612242937088,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP1-269M15.3,0.001899048569612205,0.03236013650894165,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RNU6-1153P,0.002188832266256213,0.03472282364964485,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
CWF19L2,0.002044498920440674,0.03430824354290962,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-24J19.1,0.0017391052097082138,0.03184881806373596,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
GAPDHP28,0.001873433473519981,0.03273535519838333,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
MANSC1,0.002170287072658539,0.03617134690284729,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-369K17.1,0.002412885893136263,0.0380154512822628,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-666A8.9,0.002529708668589592,0.03155040368437767,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
PANK2,0.0017258629668504,0.03115951083600521,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-95I16.6,0.0018099908484146,0.031917132437229156,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
ACSM2A,0.002056864323094487,0.035137105733156204,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
AP000233.3,0.001740295672789216,0.03153505548834801,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
SIGLEC24P,0.0024340138770639896,0.037496551871299744,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
AC006077.3,0.002004962647333741,0.03475464507937431,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
RP11-344P13.4,0.002146555343642831,0.035268500447273254,test_data,scGPT_human,ridge_pair,cell_holdout,0.1,0
